rial_reward,dqn_reward,collisions,distance,winner,rial_smooth,dqn_smooth
-46.157801877373956,-92.31560375474791,0.0,1.9671599,rial,-47.85781633906567,-95.68229934479801
-59.3393381570826,-119.67867631416523,1.0,2.166379,rial,-47.8915561614202,-95.76977898950707
-44.130144876491876,-88.26028975298374,3.0,1.6662711,rial,-47.837463165259,-95.66159299718467
-54.96938491761358,-109.93876983522715,6.0,1.5280453,rial,-47.98204343225618,-95.950753531179
-40.50433060758172,-80.50866121516346,2.0,2.3965528,rial,-48.08943633894648,-96.15887267789297
-34.15441781652954,-67.80883563305903,0.0,2.3516471,rial,-47.733635445967266,-95.44060422526788
-53.59349908856801,-107.18699817713598,4.0,2.2571125,rial,-47.52671055013116,-95.01342110026233
-59.071202662915134,-119.1424053258303,0.0,2.818163,rial,-47.796615474382925,-95.56656428209918
-37.67184818529051,-75.34369637058104,1.0,1.5865499,rial,-47.700934176254556,-95.38186835250912
-43.22045855631306,-86.44091711262612,0.0,1.6773484,rial,-47.653038367605156,-95.28607673521032
-64.00501303795923,-124.51002607591846,1.0,2.3315923,rial,-47.84345365936919,-95.62024065207173
-44.52746921493756,-90.05493842987515,0.0,2.0056,rial,-47.823742175463536,-95.59415101759373
-47.98396316574952,-95.96792633149907,12.0,1.5607505,rial,-48.11519622529019,-96.17705911724704
-40.31084229754858,-80.62168459509718,3.0,2.1095495,rial,-48.219089242697606,-96.38484515206187
-46.277026632588836,-92.55405326517766,0.0,2.0571165,rial,-48.42719758170611,-96.80772849674557
-46.57588846240407,-92.15177692480813,9.0,1.7328479,rial,-48.39937292086099,-96.738745841722
-53.3461686852237,-106.69233737044742,0.0,2.5828779,rial,-48.66125103118667,-97.26250206237336
-33.43617620142775,-67.8723524028555,17.0,1.5797275,rial,-48.77327635980531,-97.49988605294395
-44.48016897543519,-88.9603379508704,2.0,2.2546737,rial,-48.727009230989246,-97.41401846197851
-52.14728397853624,-104.29456795707246,0.0,1.9679774,rial,-48.682612722788924,-97.32522544557786
-55.31434433982686,-110.62868867965369,0.0,1.9281367,rial,-48.7022833972879,-97.37790012790914
-74.49678323743963,-148.99356647487926,0.0,1.5477942,rial,-48.69923374270359,-97.35846748540717
-63.38127744206774,-124.76255488413548,0.0,2.0220108,rial,-48.870499224674504,-97.67433178268233
-67.63053839264077,-135.26107678528157,7.0,2.3400738,rial,-49.271245912025684,-98.46249182405137
-63.39170039021562,-126.78340078043125,0.0,2.2881186,rial,-49.47883294381312,-98.87766588762624
-39.69719371764955,-79.39438743529911,0.0,2.3791623,rial,-49.21611641557062,-98.3588994978079
-33.56525578917633,-67.13051157835264,0.0,1.7271173,rial,-49.10896572195831,-98.15126477724996
-42.807892555084756,-85.61578511016951,1.0,2.1481345,rial,-48.65980386087566,-97.21294105508466
-43.58052491264496,-87.16104982528992,10.0,1.8871603,rial,-48.7517074649338,-97.39674826320095
-34.643294526064054,-67.78658905212812,0.0,1.9454932,rial,-48.504821675817,-96.889643351634
-44.72981994639877,-89.45963989279751,0.0,2.339844,rial,-48.386250654553926,-96.67250130910786
-66.15142054737915,-132.3028410947583,0.0,1.5841461,rial,-48.47552663866474,-96.83771994399615
-30.078266533806904,-60.15653306761382,1.0,2.0386496,rial,-48.41831607603728,-96.69663215207457
-45.2185873231615,-89.43717464632299,0.0,2.178508,rial,-48.39469207535218,-96.63605081737101
-43.94088471814935,-87.88176943629868,0.0,2.4395952,rial,-48.12694531719949,-96.08722396773231
-30.83846679546129,-61.67693359092259,0.0,2.1276436,rial,-47.98546449682338,-95.8042623269801
-39.731698567057165,-79.4633971341143,0.0,2.4626827,rial,-47.90055305109826,-95.63443943552984
-50.3089951249938,-100.61799024998763,0.0,2.3109982,rial,-47.90413916373112,-95.64161166079558
-34.67424128299716,-67.34848256599432,0.0,2.0384326,rial,-47.58137033981939,-94.96940734630545
-42.049336130755094,-84.09867226151019,9.0,1.8026642,rial,-47.4378382566473,-94.72234317996127
-57.19551672041083,-114.39103344082167,5.0,1.8547989,rial,-47.800931826630084,-95.44853031992683
-40.43720152975686,-80.87440305951372,2.0,2.213306,rial,-47.63386771927401,-95.1144021052147
-49.723682171810346,-98.9473643436207,0.0,2.7229266,rial,-47.77894633981672,-95.39789267963344
-52.14520430148593,-104.29040860297184,0.0,2.3836918,rial,-47.98511764951885,-95.83023529903771
